,id_barrio,Distritos,Barrios,Locales,Locscenso,Censo-2021,Censo-2019,D-Censo,censo,Abstención-2021,Abstención-2019,D-Abs,Blanco-2021,Blanco-2019,D-Blc,Nulos-2021,Nulos-2019,D-Nulos,PP-2021,PP-2019,D-PP,VarPP,VarPPcenso,VarPPlocales,anterior,PSOE-2021,PSOE-2019,D-PSOE,VarPSOE,VarPSOEcenso,VOX-2021,VOX-2019,D-VOX,VarVOX,VarVOXcenso,MAS MADRID-2021,MAS MADRID-2019,D-MÁS MADRID,VarMM,VarMMcenso,PODEMOS-IU-2021,PODEMOS-IU-2019,D-PODEMOS-IU,VarPiU,VarPiUcenso,Cs-2021,Cs-2019,D-Cs,VarCs,VarCscenso
40,74, Chamberí, Almagro,274,0.01875171092252943,14612,14950,-338,14,2508,3650,-1142,36,43,-7,30,15,15,7981,4916,3065,62.34743694060212,20.975910210785656,11.186131386861314,PP,1002,1672,-670,-40.07177033492823,-4.585272378866685,1250,1315,-65,-4.942965779467681,-0.4448398576512456,980,828,152,18.357487922705314,1.0402408978921434,322,189,133,70.37037037037037,0.9102107856556254,464,2262,-1798,-79.48717948717949,-12.304954831645224
41,75, Chamberí, Ríos Rosas,314,0.014951668968144373,21001,21354,-353,21,4027,5481,-1454,71,69,2,33,46,-13,9720,5146,4574,88.88457054022541,21.779915242131327,14.566878980891719,PP,1897,3017,-1120,-37.12296983758701,-5.333079377172516,1494,1536,-42,-2.734375,-0.19999047664396932,2188,1915,273,14.255874673629243,1.2999380981858006,760,463,297,64.14686825053995,1.4142183705537832,730,3568,-2838,-79.54035874439462,-13.513642207513929
42,76, Chamberí, Vallehermoso,167,0.010327767470624614,16170,16385,-215,16,2474,3549,-1075,59,44,15,45,29,16,8310,4935,3375,68.38905775075987,20.871985157699445,20.209580838323355,PP,1276,1936,-660,-34.090909090909086,-4.081632653061225,1401,1516,-115,-7.585751978891821,-0.7111935683364254,1457,1232,225,18.262987012987015,1.391465677179963,462,268,194,72.38805970149254,1.199752628324057,603,2787,-2184,-78.36383207750269,-13.506493506493506
43,81, Fuencarral-El Pardo, El Pardo,47,0.016549295774647886,2840,2893,-53,2,712,956,-244,8,6,2,14,11,3,1156,559,597,106.79785330948121,21.02112676056338,12.702127659574469,PP,242,350,-108,-30.857142857142854,-3.8028169014084505,347,347,0,0.0,0.0,216,179,37,20.670391061452513,1.3028169014084507,89,69,20,28.985507246376812,0.7042253521126761,44,389,-345,-88.68894601542416,-12.147887323943662
44,82, Fuencarral-El Pardo, Fuentelarreina,4,0.0016032064128256513,2495,2451,44,2,362,511,-149,11,3,8,3,2,1,1528,1002,526,52.49500998003992,21.082164328657317,131.5,PP,124,189,-65,-34.39153439153439,-2.6052104208416833,162,249,-87,-34.93975903614458,-3.486973947895792,74,50,24,48.0,0.9619238476953907,24,28,-4,-14.285714285714285,-0.16032064128256512,77,405,-328,-80.98765432098766,-13.146292585170341
45,83, Fuencarral-El Pardo, Peñagrande,136,0.003906586619940827,34813,35212,-399,34,6961,9458,-2497,120,109,11,108,90,18,13726,6608,7118,107.7179176755448,20.446384971131472,52.338235294117645,PSOE,4571,6632,-2061,-31.076598311218333,-5.920202223307385,2237,2081,156,7.496395963479097,0.4481084652285066,4304,3553,751,21.137067267098228,2.157240111452618,1448,1046,402,38.4321223709369,1.1547410450119209,1161,5421,-4260,-78.58328721638074,-12.236808088932296
46,84, Fuencarral-El Pardo, Pilar,257,0.0071896156213282604,35746,36618,-872,35,8726,11747,-3021,136,123,13,137,135,2,12192,6029,6163,102.22259081107978,17.241089912158003,23.980544747081712,PSOE,4961,7020,-2059,-29.33048433048433,-5.760085044480501,2012,1877,135,7.192328183271178,0.377664633805181,4436,3630,806,22.203856749311296,2.2547977396072287,1822,1302,520,39.93855606758833,1.454708219101438,989,4475,-3486,-77.89944134078213,-9.752140099591562
47,85, Fuencarral-El Pardo, La Paz,111,0.004055387088524351,27371,28209,-838,27,4168,6059,-1891,95,95,0,53,52,1,12698,6908,5790,83.81586566299943,21.153775894194585,52.16216216216216,PP,3494,5026,-1532,-30.481496219657778,-5.597164882539914,1924,1956,-32,-1.6359918200409,-0.11691206020971101,2882,2262,620,27.409372236958447,2.2651711665631504,807,576,231,40.10416666666667,0.8439589346388514,1112,5115,-4003,-78.26001955034214,-14.624968031858538
48,86, Fuencarral-El Pardo, Valverde,331,0.007973405921036784,41513,41115,398,41,8532,12269,-3737,179,119,60,149,84,65,16575,6125,10450,170.6122448979592,25.172837424421267,31.570996978851962,PSOE,4518,6599,-2081,-31.53508107288983,-5.012887529207718,2841,2758,83,3.009427121102248,0.19993736901693446,4925,4035,890,22.057001239157373,2.1439067280129116,1853,1188,665,55.97643097643098,1.6019078360995351,1601,7631,-6030,-79.01978770803302,-14.52557030327849
49,87, Fuencarral-El Pardo, Mirasierra,84,0.0033958602846054335,24736,23783,953,24,3381,4825,-1444,87,86,1,63,36,27,12884,6150,6734,109.4959349593496,27.22347994825356,80.16666666666667,PP,1981,3020,-1039,-34.40397350993378,-4.20035575679172,2375,2516,-141,-5.604133545310016,-0.570019404915912,2112,1625,487,29.96923076923077,1.96879042690815,616,489,127,25.971370143149286,0.5134217335058214,1117,4915,-3798,-77.2736520854527,-15.354139715394567
